"rt","key_press","block_duration","possible_responses","stim_duration","exp_stage","correct","correct_response","flanker_middle_direction","flanker_type","flanker_location","cue","trial_num","p","t","condition","experience","current","breath","group"
826,39,826,"37,39",826,"test","true",39,"right","congruent","down","double",72,"10","2","Control","Low","Low","HIgh","Reading"
740,37,740,"37,39",740,"test","true",37,"left","neutral","down","nocue",73,"10","2","Control","Low","Low","HIgh","Reading"
938,39,938,"37,39",938,"test","true",39,"right","incongruent","down","center",74,"10","2","Control","Low","Low","HIgh","Reading"
1002,39,1002,"37,39",1002,"test","true",39,"right","incongruent","down","nocue",75,"10","2","Control","Low","Low","HIgh","Reading"
978,37,978,"37,39",978,"test","true",37,"left","incongruent","up","double",76,"10","2","Control","Low","Low","HIgh","Reading"
954,39,954,"37,39",954,"test","true",39,"right","incongruent","up","nocue",77,"10","2","Control","Low","Low","HIgh","Reading"
677,37,677,"37,39",677,"test","true",37,"left","incongruent","down","nocue",78,"10","2","Control","Low","Low","HIgh","Reading"
750,39,750,"37,39",750,"test","true",39,"right","neutral","up","nocue",79,"10","2","Control","Low","Low","HIgh","Reading"
714,37,714,"37,39",714,"test","true",37,"left","neutral","down","double",80,"10","2","Control","Low","Low","HIgh","Reading"
652,37,652,"37,39",652,"test","true",37,"left","congruent","down","center",81,"10","2","Control","Low","Low","HIgh","Reading"
748,37,748,"37,39",748,"test","true",37,"left","neutral","up","nocue",82,"10","2","Control","Low","Low","HIgh","Reading"
754,39,754,"37,39",754,"test","true",39,"right","neutral","up","spatial",83,"10","2","Control","Low","Low","HIgh","Reading"
959,37,959,"37,39",959,"test","true",37,"left","incongruent","down","center",84,"10","2","Control","Low","Low","HIgh","Reading"
938,37,938,"37,39",938,"test","true",37,"left","incongruent","up","spatial",85,"10","2","Control","Low","Low","HIgh","Reading"
438,37,438,"37,39",438,"test","true",37,"left","neutral","up","spatial",86,"10","2","Control","Low","Low","HIgh","Reading"
1161,39,1161,"37,39",1161,"test","true",39,"right","neutral","down","nocue",88,"10","2","Control","Low","Low","HIgh","Reading"
759,39,759,"37,39",759,"test","true",39,"right","neutral","up","double",89,"10","2","Control","Low","Low","HIgh","Reading"
726,37,726,"37,39",726,"test","true",37,"left","congruent","up","nocue",90,"10","2","Control","Low","Low","HIgh","Reading"
